City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
82,bagdarin,100,RU,1610233507,83,54.4333,113.6,-21.8,2.05
83,izumo,75,JP,1610233259,93,35.3667,132.7667,-1.0,5.66
84,kannauj,6,IN,1610233509,75,27.0546,79.922,16.06,2.7
85,tiksi,100,RU,1610233510,88,71.6872,128.8694,-28.52,3.01
86,mbulu,100,TZ,1610233511,95,-3.85,35.5333,14.82,5.22
87,college,90,US,1610233511,73,64.8569,-147.8028,-9.0,2.57
88,lao cai,86,VN,1610233512,53,22.4833,103.95,7.99,0.86
89,muros,100,ES,1610233513,73,42.7762,-9.0603,7.78,3.13
90,kargala,100,RU,1610233514,86,56.6208,83.9607,-17.22,2.24
91,namangan,0,UZ,1610233515,79,40.9983,71.6726,-7.0,2.06
92,samarai,100,PG,1610233516,74,-10.6167,150.6667,29.5,4.73
93,fortuna,1,US,1610233517,58,40.5982,-124.1573,15.56,1.37
94,narsaq,75,GL,1610233518,42,60.9167,-46.05,5.0,9.77
95,thaba-tseka,81,LS,1610233519,74,-29.522,28.6084,14.75,1.4
96,cherskiy,96,RU,1610233520,86,68.75,161.3,-32.77,1.55
97,tuy hoa,86,VN,1610233521,86,13.0833,109.3,21.3,5.89
98,srednekolymsk,83,RU,1610233523,84,67.45,153.6833,-33.8,2.14
99,waynesville,0,US,1610233525,86,35.4887,-82.9887,-3.89,1.7
100,maniitsoq,99,GL,1610233526,88,65.4167,-52.9,-4.25,5.07
101,houma,1,US,1610233527,49,29.5958,-90.7195,10.0,3.6
102,sabang,93,ID,1610233528,75,5.8933,95.3214,27.22,4.6
103,hilo,75,US,1610233529,57,19.7297,-155.09,27.0,2.06
104,provideniya,1,RU,1610233530,82,64.3833,-173.3,-21.84,3.14
105,port-cartier,18,CA,1610233531,50,50.0334,-66.8654,-2.0,4.63
106,souillac,40,MU,1610233531,89,-20.5167,57.5167,26.0,2.06
107,bethel,90,US,1610233534,43,41.3712,-73.414,0.0,4.63
108,ossora,100,RU,1610233535,83,59.2353,163.0719,-15.6,3.75
109,shelburne,1,CA,1610233536,74,44.0787,-80.2041,-1.0,2.57
110,cidreira,0,BR,1610233537,82,-30.1811,-50.2056,25.33,7.14
111,puerto del rosario,20,ES,1610233538,58,28.5004,-13.8627,15.0,5.14
112,kapaa,75,US,1610233539,69,22.0752,-159.319,26.0,4.12
113,njombe,100,TZ,1610233540,95,-9.3333,34.7667,12.92,1.65
114,isla vista,1,US,1610233541,45,34.4133,-119.861,21.67,2.57
115,shipunovo,100,RU,1610233542,86,52.1582,82.2173,-13.06,9.11
116,nome,1,US,1610233543,71,64.5011,-165.4064,-22.0,5.14
117,thompson,20,CA,1610233342,92,55.7435,-97.8558,-14.0,1.54
118,laguna,1,US,1610233545,58,38.421,-121.4238,13.33,4.63
119,faya,0,SA,1610233547,57,18.3851,42.4509,10.0,0.53
120,bandar,100,ID,1610233548,92,2.05,99.75,22.3,1.15
121,saskylakh,100,RU,1610233550,85,71.9167,114.0833,-32.45,3.79
122,pavlodar,0,KZ,1610233551,72,52.3,76.95,-13.0,6.0
123,ulladulla,0,AU,1610233552,64,-35.35,150.4667,23.33,3.6
124,codrington,3,AU,1610233553,57,-38.2667,141.9667,21.24,3.29
125,tiarei,75,PF,1610233554,65,-17.5333,-149.3333,30.0,5.14
126,mount hagen,100,PG,1610233556,83,-5.8581,144.2274,18.88,0.95
127,beringovskiy,100,RU,1610233557,88,63.05,179.3167,-25.9,5.19
128,ponta delgada,40,PT,1610233477,58,37.7333,-25.6667,12.0,2.57
129,totma,93,RU,1610233559,95,59.9747,42.7642,-14.19,2.39
130,assiniboia,0,CA,1610233560,73,49.6334,-105.9845,-6.0,1.03
131,egvekinot,60,RU,1610233317,85,66.3167,-179.1667,-29.05,4.2
132,lebu,0,CL,1610233562,71,-37.6167,-73.65,15.1,3.15
133,tabou,7,CI,1610233563,85,4.423,-7.3528,25.95,3.67
134,hithadhoo,100,MV,1610233474,75,-0.6,73.0833,27.11,5.01
135,campos gerais,100,BR,1610233565,90,-21.235,-45.7586,21.83,4.78
136,jalu,0,LY,1610233567,39,29.0331,21.5482,17.98,3.38
137,grass valley,1,US,1610233568,46,39.2191,-121.0611,11.11,1.16
138,belmonte,20,BR,1610233569,83,-15.8631,-38.8828,26.0,5.14
139,ust-nera,69,RU,1610233306,73,64.5667,143.2,-36.91,0.66
140,lagoa,94,PT,1610233571,60,39.05,-27.9833,13.71,3.44
141,ponta do sol,44,PT,1610233572,72,32.6667,-17.1,11.67,1.79
142,marang,40,MY,1610233575,83,5.2056,103.2059,26.0,3.09
143,stokmarknes,99,NO,1610233576,57,68.5646,14.9108,-1.67,4.02
144,mazagao,40,BR,1610233578,83,-0.115,-51.2894,28.0,3.6
145,muscat,0,OM,1610233478,54,23.6139,58.5922,13.0,1.54
146,nishihara,75,JP,1610233579,62,26.1842,127.7558,13.0,2.57
147,port augusta,0,AU,1610233580,30,-32.5,137.7667,31.11,3.09
148,khatanga,67,RU,1610233582,85,71.9667,102.5,-35.07,0.94
149,nouadhibou,0,MR,1610233450,63,20.931,-17.0347,18.0,7.72
150,sao joao da barra,38,BR,1610233584,89,-21.6403,-41.0511,25.24,5.78
151,zinder,0,NE,1610233585,21,13.8072,8.9881,22.38,4.63
152,fare,36,PF,1610233587,73,-16.7,-151.0167,27.21,5.46
153,cape town,75,ZA,1610233588,77,-33.9258,18.4232,20.0,2.57
154,saint marys,90,US,1610233589,87,30.7305,-81.5465,6.11,5.66
155,mehamn,29,NO,1610233589,93,71.0357,27.8492,-8.71,6.88
156,chokurdakh,100,RU,1610233591,86,70.6333,147.9167,-33.9,0.92
157,zhanaozen,0,KZ,1610233591,86,43.3,52.8,-0.88,6.74
158,saint-paul,0,RE,1610233385,78,-21.0096,55.2707,23.0,2.57
159,anadyr,20,RU,1610233593,68,64.75,177.4833,-33.89,4.0
160,chapais,90,CA,1610233596,92,49.7834,-74.8492,-9.0,2.57
161,east london,8,ZA,1610233430,76,-33.0153,27.9116,23.67,8.0
162,shubarkuduk,99,KZ,1610233598,93,49.1447,56.4872,-5.05,5.33
163,durazno,98,UY,1610233599,31,-33.4131,-56.5006,26.66,2.71
164,bengkulu,100,ID,1610233600,84,-3.8004,102.2655,24.12,2.05
165,buchanan,75,LR,1610233601,94,5.8808,-10.0467,26.0,2.89
166,poum,100,NC,1610233602,79,-20.2333,164.0167,28.16,7.14
167,sovetskaya gavan,16,RU,1610233603,75,48.9723,140.2878,-24.0,4.29
168,kalangala,98,UG,1610233605,74,-0.3089,32.225,22.7,6.47
169,kasama,100,ZM,1610233606,97,-10.2129,31.1808,16.37,1.68
170,grand forks,20,US,1610233607,100,47.9417,-97.4337,0.0,5.14
171,yerbogachen,100,RU,1610233608,89,61.2767,108.0108,-24.73,0.52
172,upernavik,59,GL,1610233609,82,72.7868,-56.1549,-11.74,5.3
173,vanderhoof,99,CA,1610233610,95,54.0166,-124.0198,-2.62,2.81
174,pisco,0,PE,1610233611,83,-13.7,-76.2167,22.0,9.77
175,utena,39,LT,1610233612,96,55.5,25.6,-10.74,1.73
176,mukhtolovo,100,RU,1610233613,99,55.4644,43.1953,-3.89,2.75
177,lata,94,PT,1610233614,70,40.1629,-8.3327,6.11,2.24
178,xichang,55,CN,1610233615,77,27.8964,102.2634,2.32,1.13
179,manokwari,100,ID,1610233616,73,-0.8667,134.0833,27.28,0.53
180,gualaceo,75,EC,1610233617,59,-2.9,-78.7833,17.0,1.03
181,kotovo,100,RU,1610233618,94,50.3211,44.8012,1.18,7.32
182,lere,1,NG,1610233465,26,10.387,8.5726,19.13,1.47
183,panaba,100,MX,1610233620,78,21.2833,-88.2667,19.44,2.67
184,torbay,40,CA,1610233519,80,47.6666,-52.7314,1.11,8.23
185,pilot butte,0,CA,1610233623,79,50.4668,-104.4178,-7.78,3.6
186,ilulissat,40,GL,1610233624,53,69.2167,-51.1,-8.0,5.66
187,rorvik,100,NO,1610233625,95,64.8621,11.2373,-2.89,11.15
188,vila velha,75,BR,1610233626,83,-20.3297,-40.2925,26.11,5.66
189,vao,100,NC,1610233627,88,-22.6667,167.4833,25.9,5.94
190,okato,92,NZ,1610233628,77,-39.2,173.8833,18.89,4.92
191,aswan,0,EG,1610233629,30,24.0934,32.907,16.48,3.32
192,shieli,63,KZ,1610233631,68,44.1667,66.75,-7.63,2.65
193,longfeng,0,CN,1610233632,85,46.55,125.1167,-22.3,2.0
194,tocopilla,69,CL,1610233633,63,-22.092,-70.1979,21.81,4.41
195,quang ngai,100,VN,1610233634,91,15.1167,108.8,18.23,2.34
196,xinzhi,95,CN,1610233635,66,36.4989,111.7047,-6.55,3.3
197,bressanone,0,IT,1610233636,86,46.715,11.656,-5.56,1.36
198,port elizabeth,0,ZA,1610233600,88,-33.918,25.5701,21.0,8.23
199,zhigansk,100,RU,1610233639,85,66.7697,123.3711,-32.79,3.05
200,dumraon,68,IN,1610233641,68,25.55,84.15,17.05,3.15
201,hasaki,20,JP,1610233642,79,35.7333,140.8333,-5.0,2.06
202,talnakh,4,RU,1610233643,82,69.4865,88.3972,-31.81,0.8
203,kiomboi,100,TZ,1610233644,95,-4.2667,34.3667,16.1,0.78
204,hambantota,100,LK,1610233645,90,6.1241,81.1185,23.59,3.1
205,ishigaki,75,JP,1610233649,62,24.3448,124.1572,12.0,3.6
