City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
352,barbacoas,100,CO,1610152658,92,1.6715,-78.1398,296.05,0.65
353,toora-khem,100,RU,1610152659,84,52.4675,96.11,244.69,0.36
354,half moon bay,1,US,1610152660,87,37.4636,-122.4286,287.15,4.63
355,llanes,91,ES,1610152660,93,43.4198,-4.7549,275.37,3.15
356,chapais,90,CA,1610152661,85,49.7834,-74.8492,261.15,3.09
357,northam,80,GB,1610152662,86,51.0333,-4.2167,275.93,1.79
358,imeni poliny osipenko,100,RU,1610152664,87,52.4201,136.4853,245.98,2.7
359,ancud,90,CL,1610152665,71,-41.8697,-73.8203,287.59,1.54
360,west helena,100,US,1610152666,70,34.5507,-90.6418,277.15,2.06
361,khandyga,93,RU,1610152667,81,62.6667,135.6,234.48,1.0
362,labuhan,72,ID,1610152668,77,-6.8844,112.2051,301.01,3.95
363,lavrentiya,0,RU,1610152670,83,65.5833,-171.0,248.24,1.69
364,gasa,0,PS,1610152672,43,31.5,34.4667,290.37,0.89
365,garowe,0,SO,1610152674,74,8.4054,48.4845,290.32,3.91
366,axim,100,GH,1610152675,86,4.8699,-2.2405,299.08,3.14
367,bubaque,0,GW,1610152676,77,11.2833,-15.8333,299.26,7.35
368,kidal,0,ML,1610152677,18,18.4411,1.4078,296.87,4.42
369,tiznit,93,MA,1610152681,85,29.5833,-9.5,284.29,1.97
370,cabatuan,69,PH,1610152682,86,10.8794,122.486,299.05,6.15
371,casablanca,75,MA,1610152521,100,33.5928,-7.6192,287.04,5.66
372,quatre cocos,40,MU,1610152684,88,-20.2078,57.7625,298.15,5.66
373,sri aman,40,MY,1610152685,94,1.2376,111.4621,298.15,0.76
374,sens,0,FR,1610152686,89,48.1667,3.3333,271.48,2.17
375,thinadhoo,72,MV,1610152687,80,0.5333,72.9333,300.61,5.91
376,marquette,90,US,1610152688,82,46.5333,-87.6335,272.04,2.16
377,bosaso,0,SO,1610152689,65,11.2842,49.1816,294.85,2.89
378,capinzal,46,BR,1610152690,79,-27.3436,-51.6119,293.1,0.92
379,turukhansk,100,RU,1610152691,89,65.8167,87.9833,248.89,3.49
380,beyneu,100,KZ,1610152692,76,45.3167,55.2,270.5,7.33
381,maracacume,42,BR,1610152693,92,-2.0428,-45.9592,296.57,1.59
382,deda,40,RO,1610152694,93,46.9333,24.9,272.15,3.6
383,aykhal,100,RU,1610152695,87,66.0,111.5,247.93,3.18
384,uyuni,0,BO,1610152696,35,-20.4597,-66.825,286.01,7.92
385,mantua,0,IT,1610152697,74,45.1667,10.7833,273.15,1.03
386,rupert,40,US,1610152567,70,42.6191,-113.6772,276.15,4.12
387,lamu,1,KE,1610152699,83,-2.2717,40.902,298.15,3.83
388,xining,100,CN,1610152556,76,36.6167,101.7667,261.27,0.18
389,bonfim,100,BR,1610152701,87,3.0833,-59.95,297.73,3.0
390,santiago del estero,0,AR,1610152702,60,-27.7951,-64.2615,302.59,0.45
391,dakar,0,SN,1610152286,88,14.6937,-17.4441,294.15,6.17
392,valle hermoso,20,MX,1610152703,63,25.6667,-97.8333,289.15,5.66
393,smidovich,3,RU,1610152704,78,48.6,133.8167,248.2,3.08
394,tombouctou,0,ML,1610152705,20,20.0,-3.0,293.98,1.48
395,petropavlovsk-kamchatskiy,0,RU,1610152706,65,53.0452,158.6483,254.15,2.0
396,srednekolymsk,92,RU,1610152707,84,67.45,153.6833,241.57,1.18
397,luanda,20,AO,1610152328,78,-8.8368,13.2343,298.15,2.06
398,ewo,100,CG,1610152709,80,-0.8725,14.8206,295.96,1.55
399,mvangue,33,CM,1610152710,98,2.9667,11.5167,292.69,1.54
400,kavieng,100,PG,1610152711,72,-2.5744,150.7967,302.18,4.78
401,angoram,100,PG,1610152712,61,-4.0625,144.0661,305.19,0.84
402,angul,4,IN,1610152713,63,20.85,85.1,291.53,0.74
403,santiago,20,CL,1610152627,38,-33.4569,-70.6483,297.15,3.6
404,chernyshevskiy,100,RU,1610152715,93,63.0128,112.4714,254.91,3.01
405,guerrero negro,0,MX,1610152716,63,27.9769,-114.0611,290.16,4.88
406,kysyl-syr,88,RU,1610152717,82,63.8986,122.7617,237.05,1.43
407,el alto,59,PE,1610152718,90,-4.2714,-81.2147,292.93,4.38
408,zyryanka,92,RU,1610152718,85,65.75,150.85,240.42,1.2
409,talavera,75,PH,1610152719,69,15.6167,120.9333,297.15,2.06
410,tilichiki,21,RU,1610152720,89,60.4667,166.1,255.16,5.0
411,lago da pedra,100,BR,1610152721,96,-4.3333,-45.1667,296.79,1.29
412,alta floresta,0,BR,1610152722,83,-9.8756,-56.0861,297.35,0.78
413,yeppoon,90,AU,1610152481,73,-23.1333,150.7333,297.15,7.72
414,mokrous,100,RU,1610152724,98,51.2333,47.5167,272.99,3.26
415,moron,7,AR,1610152676,55,-34.6534,-58.6198,298.15,3.13
416,boguchany,100,RU,1610152726,86,58.3814,97.4531,250.08,1.03
417,odweyne,0,SO,1610152727,37,9.4092,45.064,289.64,7.31
418,mehamn,66,NO,1610152728,91,71.0357,27.8492,266.13,3.61
419,general roca,0,AR,1610152729,22,-39.0333,-67.5833,300.15,1.54
420,hasaki,20,JP,1610152730,47,35.7333,140.8333,275.37,1.54
421,kaeo,66,NZ,1610152731,74,-35.1,173.7833,297.04,3.13
422,bighapur,0,IN,1610152732,94,26.35,80.6833,286.15,1.54
423,hervey bay,100,AU,1610152733,82,-25.2986,152.8535,296.48,4.47
424,lexington park,75,US,1610152734,69,38.2668,-76.4538,276.15,4.12
425,akyab,81,MM,1610152735,73,20.15,92.9,294.04,3.16
426,catalao,84,BR,1610152736,89,-18.1658,-47.9464,293.93,1.35
427,bandar-e lengeh,0,IR,1610152742,32,26.5579,54.8807,285.15,3.09
428,iralaya,0,HN,1610152743,78,15.0,-83.2333,297.27,4.51
429,zdvinsk,100,RU,1610152744,87,54.7021,78.661,246.04,5.01
430,multan,90,PK,1610152466,100,30.1956,71.4753,281.15,1.92
431,tabou,73,CI,1610152746,86,4.423,-7.3528,298.87,3.06
432,ilulissat,100,GL,1610152747,55,69.2167,-51.1,257.15,11.83
433,tongchuan,97,CN,1610152748,55,35.0806,109.0897,265.96,1.61
434,basoko,100,CD,1610152749,92,1.2391,23.616,294.73,1.45
435,muros,65,ES,1610152750,83,42.7762,-9.0603,277.04,5.94
436,la paz,75,BO,1610152751,76,-16.5,-68.15,282.15,5.14
437,talara,84,PE,1610152752,88,-4.5772,-81.2719,294.07,4.03
438,buenos aires,0,AR,1610152606,73,-34.6132,-58.3772,298.15,6.69
439,kahului,40,US,1610152501,54,20.8947,-156.47,301.15,6.17
440,zhigansk,98,RU,1610152754,82,66.7697,123.3711,234.41,2.15
441,yabelo,0,ET,1610152756,45,4.8833,38.0833,286.93,3.2
442,flinders,40,AU,1610152757,62,-34.5833,150.8552,297.59,1.34
443,kondinskoye,100,RU,1610152758,94,59.6481,67.41,255.7,1.31
444,nogliki,100,RU,1610152759,82,51.8333,143.1667,248.8,3.21
445,shahe,0,CN,1610152760,79,39.2708,113.5478,257.79,3.64
446,san cristobal,40,VE,1610152588,74,7.7669,-72.225,300.15,2.06
447,huarmey,100,PE,1610152762,84,-10.0681,-78.1522,294.47,4.01
448,nata,20,PA,1610152763,61,8.3333,-80.5167,301.15,4.12
449,kralendijk,20,BQ,1610152631,83,12.15,-68.2667,299.15,6.17
450,vilhena,20,BR,1610152766,78,-12.7406,-60.1458,298.15,1.54
451,geraldton,100,AU,1610152767,57,-28.7667,114.6,301.15,2.57
452,prieska,0,ZA,1610152768,44,-29.6641,22.7474,299.5,2.93
453,korla,100,CN,1610152769,89,41.7597,86.1469,264.07,0.94
454,solnechnyy,100,RU,1610152769,80,50.7214,136.6319,247.2,1.27
455,nizhniy ingash,100,RU,1610152770,87,56.2,96.53,249.35,1.52
456,vikhorevka,40,RU,1610152771,76,56.1201,101.1636,246.48,3.0
457,sao miguel do araguaia,66,BR,1610152772,69,-13.275,-50.1628,298.81,0.71
458,homer,75,US,1610152773,87,59.6425,-151.5483,276.48,1.54
459,marawi,40,PH,1610152774,83,7.9986,124.2928,300.37,1.79
460,pacifica,40,US,1610152648,88,37.6138,-122.4869,286.48,1.54
461,colares,0,PT,1610152777,51,38.7992,-9.4469,280.37,9.48
462,chongqing,40,CN,1610152778,87,29.5628,106.5528,277.04,2.0
463,leshukonskoye,67,RU,1610152779,91,64.8989,45.7622,251.39,1.49
464,banda aceh,100,ID,1610152781,79,5.5577,95.3222,299.13,3.68
465,nantucket,1,US,1610152782,74,41.2835,-70.0995,272.15,2.06
466,vestmannaeyjar,14,IS,1610152783,89,63.4427,-20.2734,270.19,13.28
467,aljezur,12,PT,1610152784,66,37.3191,-8.8033,277.59,0.45
468,kalevala,89,RU,1610152785,95,65.2,31.1667,258.67,0.46
469,rabaul,100,PG,1610152786,66,-4.1967,152.1721,301.63,1.31
470,anadyr,20,RU,1610152787,68,64.75,177.4833,240.37,5.0
471,sunrise manor,1,US,1610152788,17,36.2111,-115.0731,289.15,0.63
472,mackay,90,AU,1610152789,94,-21.15,149.2,297.15,6.17
473,mulatupo,100,PA,1610152789,85,8.9492,-77.7652,299.01,4.16
474,faya,0,SA,1610152790,61,18.3851,42.4509,283.15,1.09
475,ponta delgada,20,PT,1610152792,76,37.7333,-25.6667,284.15,3.09
476,tayu,100,ID,1610152793,73,-6.5397,111.0518,301.41,1.89
477,loralai,0,PK,1610152793,63,30.3705,68.598,275.29,2.78
478,vawkavysk,95,BY,1610152794,98,53.1561,24.4513,271.8,4.16
479,san vicente,95,AR,1610152795,64,-26.6167,-54.1333,295.19,1.13
480,upata,99,VE,1610152796,94,8.0086,-62.3989,296.48,0.89
481,namuac,100,PH,1610152797,86,18.6109,121.1657,293.38,8.99
482,awbari,0,LY,1610152815,30,26.5921,12.7805,290.35,2.72
483,mishkino,100,RU,1610152816,93,55.3389,63.9175,256.66,5.02
